action, id, label, source, target
remove, 284, , ,
remove, 216, , ,
remove, 217, , ,
remove, 218, , ,
insert, 291, 0, 97, 97
insert, 292, 1, 97, 209
insert, 293, 2, 97, 109
insert, 294, 0, 98, 98
insert, 295, 1, 98, 80
insert, 296, 2, 98, 213
insert, 297, 0, 99, 99
insert, 298, 1, 99, 162
insert, 299, 2, 99, 166
insert, 300, 0, 100, 100
insert, 301, 1, 100, 138
insert, 302, 2, 100, 142
NEW ITERATION, 35, , ,
NEW ITERATION, 36, , ,
remove, 291, , ,
remove, 292, , ,
remove, 293, , ,
remove, 195, , ,
remove, 196, , ,
remove, 197, , ,
remove, 300, , ,
remove, 301, , ,
remove, 302, , ,
remove, 69, , ,
remove, 70, , ,
remove, 71, , ,
remove, 294, , ,
remove, 295, , ,
remove, 296, , ,
remove, 204, , ,
remove, 205, , ,
remove, 206, , ,
insert, 303, 0, 101, 101
insert, 304, 1, 101, 209
insert, 305, 2, 101, 85
insert, 306, 0, 102, 102
insert, 307, 1, 102, 56
insert, 308, 2, 102, 213
insert, 309, 0, 103, 103
insert, 310, 1, 103, 138
insert, 311, 2, 103, 142
insert, 312, 0, 104, 104
insert, 313, 1, 104, 114
insert, 314, 2, 104, 118
NEW ITERATION, 37, , ,
NEW ITERATION, 38, , ,
remove, 303, , ,
remove, 304, , ,
remove, 305, , ,
remove, 183, , ,
remove, 184, , ,
remove, 185, , ,
remove, 312, , ,
remove, 313, , ,
remove, 314, , ,
remove, 51, , ,
remove, 52, , ,
remove, 53, , ,
remove, 306, , ,
remove, 307, , ,
remove, 308, , ,
remove, 192, , ,
remove, 193, , ,
remove, 194, , ,
insert, 315, 0, 105, 105
insert, 316, 1, 105, 209
insert, 317, 2, 105, 61
insert, 318, 0, 106, 106
insert, 319, 1, 106, -1
insert, 320, 2, 106, 213
insert, 321, 0, 107, 107
insert, 322, 1, 107, 114
insert, 323, 2, 107, 118
insert, 324, 0, 108, 108
insert, 325, 1, 108, 90
insert, 326, 2, 108, 94
NEW ITERATION, 39, , ,
NEW ITERATION, 40, , ,
remove, 315, , ,
remove, 316, , ,
remove, 317, , ,
remove, 171, , ,
remove, 172, , ,
remove, 173, , ,
remove, 324, , ,
remove, 325, , ,
remove, 326, , ,
remove, 33, , ,
remove, 34, , ,
remove, 35, , ,
remove, 318, , ,
remove, 319, , ,
remove, 320, , ,
remove, 180, , ,
remove, 181, , ,
remove, 182, , ,
insert, 327, 0, 109, 109
insert, 328, 1, 109, 209
insert, 329, 2, 109, -1
insert, 330, 0, 110, 110
insert, 331, 1, 110, 60
insert, 332, 2, 110, 213
insert, 333, 0, 111, 111
insert, 334, 1, 111, 90
insert, 335, 2, 111, 94
insert, 336, 0, 112, 112
insert, 337, 1, 112, 66
insert, 338, 2, 112, 70
NEW ITERATION, 41, , ,
NEW ITERATION, 42, , ,
remove, 327, , ,
remove, 328, , ,
remove, 329, , ,
remove, 9, , ,
remove, 10, , ,
remove, 11, , ,
remove, 336, , ,
remove, 337, , ,
remove, 338, , ,
remove, 15, , ,
remove, 16, , ,
remove, 17, , ,
remove, 330, , ,
remove, 331, , ,
remove, 332, , ,
remove, 168, , ,
remove, 169, , ,
remove, 170, , ,
insert, 339, 0, 113, 113
insert, 340, 1, 113, 209
insert, 341, 2, 113, -1
insert, 342, 0, 114, 114
insert, 343, 1, 114, -1
insert, 344, 2, 114, 213
insert, 345, 0, 115, 115
insert, 346, 1, 115, 66
insert, 347, 2, 115, 70
insert, 348, 0, 116, 116
insert, 349, 1, 116, -1
insert, 350, 2, 116, 78
NEW ITERATION, 43, , ,
NEW ITERATION, 44, , ,
NEW ITERATION, 45, , ,
NEW ITERATION, 46, , ,
NEW ITERATION, 47, , ,
NEW ITERATION, 48, , ,
NEW ITERATION, 49, , ,
NEW ITERATION, 50, , ,
NEW ITERATION, 51, , ,
NEW ITERATION, 52, , ,
NEW ITERATION, 53, , ,
NEW ITERATION, 54, , ,
NEW ITERATION, 55, , ,
NEW ITERATION, 56, , ,
NEW ITERATION, 57, , ,
NEW ITERATION, 58, , ,
NEW ITERATION, 59, , ,
NEW ITERATION, 60, , ,
NEW ITERATION, 61, , ,
NEW ITERATION, 62, , ,
NEW ITERATION, 63, , ,
NEW ITERATION, 64, , ,
NEW ITERATION, 65, , ,
NEW ITERATION, 66, , ,
NEW ITERATION, 67, , ,
NEW ITERATION, 68, , ,
NEW ITERATION, 69, , ,
NEW ITERATION, 70, , ,
NEW ITERATION, 71, , ,
NEW ITERATION, 72, , ,
NEW ITERATION, 73, , ,
NEW ITERATION, 74, , ,
NEW ITERATION, 75, , ,
NEW ITERATION, 76, , ,
NEW ITERATION, 77, , ,
NEW ITERATION, 78, , ,
NEW ITERATION, 79, , ,
NEW ITERATION, 80, , ,
NEW ITERATION, 81, , ,
NEW ITERATION, 82, , ,
NEW ITERATION, 83, , ,
NEW ITERATION, 84, , ,
NEW ITERATION, 85, , ,
NEW ITERATION, 86, , ,
NEW ITERATION, 87, , ,
NEW ITERATION, 88, , ,
NEW ITERATION, 89, , ,
NEW ITERATION, 90, , ,
NEW ITERATION, 91, , ,
NEW ITERATION, 92, , ,
NEW ITERATION, 93, , ,
NEW ITERATION, 94, , ,
NEW ITERATION, 95, , ,
NEW ITERATION, 96, , ,
NEW ITERATION, 97, , ,
NEW ITERATION, 98, , ,
NEW ITERATION, 99, , ,
NEW ITERATION, 100, , ,
NEW ITERATION, 101, , ,
NEW ITERATION, 102, , ,
NEW ITERATION, 103, , ,
NEW ITERATION, 104, , ,
NEW ITERATION, 105, , ,
NEW ITERATION, 106, , ,
NEW ITERATION, 107, , ,
NEW ITERATION, 108, , ,
NEW ITERATION, 109, , ,
NEW ITERATION, 110, , ,
NEW ITERATION, 111, , ,
NEW ITERATION, 112, , ,
NEW ITERATION, 113, , ,
NEW ITERATION, 114, , ,
NEW ITERATION, 115, , ,
NEW ITERATION, 116, , ,
NEW ITERATION, 117, , ,
NEW ITERATION, 118, , ,
NEW ITERATION, 119, , ,
NEW ITERATION, 120, , ,
NEW ITERATION, 121, , ,
NEW ITERATION, 122, , ,
NEW ITERATION, 123, , ,
NEW ITERATION, 124, , ,
NEW ITERATION, 125, , ,
NEW ITERATION, 126, , ,
NEW ITERATION, 127, , ,
NEW ITERATION, 128, , ,
NEW ITERATION, 129, , ,
NEW ITERATION, 130, , ,
NEW ITERATION, 131, , ,
NEW ITERATION, 132, , ,
NEW ITERATION, 133, , ,
NEW ITERATION, 134, , ,
NEW ITERATION, 135, , ,
NEW ITERATION, 136, , ,
NEW ITERATION, 137, , ,
NEW ITERATION, 138, , ,
NEW ITERATION, 139, , ,
NEW ITERATION, 140, , ,
NEW ITERATION, 141, , ,
NEW ITERATION, 142, , ,
NEW ITERATION, 143, , ,
NEW ITERATION, 144, , ,
NEW ITERATION, 145, , ,
NEW ITERATION, 146, , ,
NEW ITERATION, 147, , ,
NEW ITERATION, 148, , ,
NEW ITERATION, 149, , ,
NEW ITERATION, 150, , ,
NEW ITERATION, 151, , ,
NEW ITERATION, 152, , ,
NEW ITERATION, 153, , ,
NEW ITERATION, 154, , ,
NEW ITERATION, 155, , ,
NEW ITERATION, 156, , ,
NEW ITERATION, 157, , ,
NEW ITERATION, 158, , ,
NEW ITERATION, 159, , ,
NEW ITERATION, 160, , ,
NEW ITERATION, 161, , ,
NEW ITERATION, 162, , ,
NEW ITERATION, 163, , ,
NEW ITERATION, 164, , ,
NEW ITERATION, 165, , ,
NEW ITERATION, 166, , ,
NEW ITERATION, 167, , ,
NEW ITERATION, 168, , ,
NEW ITERATION, 169, , ,
NEW ITERATION, 170, , ,
NEW ITERATION, 171, , ,
NEW ITERATION, 172, , ,
NEW ITERATION, 173, , ,
NEW ITERATION, 174, , ,
NEW ITERATION, 175, , ,
NEW ITERATION, 176, , ,
NEW ITERATION, 177, , ,
NEW ITERATION, 178, , ,
NEW ITERATION, 179, , ,
END, , , ,
