action, id, source, target, label
remove, 353, , ,
insert, 354, 111, 118, 0
insert, 355, -1, 118, 1
insert, 356, 112, 118, 2
insert, 357, 100, 119, 0
insert, 359, 113, 119, 2
insert, 360, 101, 120, 0
insert, 362, 105, 120, 2
insert, 363, 102, 121, 0
insert, 365, 113, 121, 2
insert, 366, 103, 122, 0
insert, 368, 105, 122, 2
insert, 369, 116, 123, 0
insert, 371, 114, 123, 2
insert, 372, 117, 124, 0
insert, 375, 116, 125, 0
insert, 377, 114, 125, 2
NEW ITERATION, 32, , ,
NEW ITERATION, 33, , ,
NEW ITERATION, 34, , ,
NEW ITERATION, 35, , ,
NEW ITERATION, 36, , ,
remove, 369, , ,
remove, 370, , ,
remove, 371, , ,
remove, 234, , ,
remove, 235, , ,
remove, 236, , ,
remove, 375, , ,
remove, 376, , ,
remove, 377, , ,
remove, 294, , ,
remove, 295, , ,
remove, 296, , ,
remove, 348, , ,
remove, 349, , ,
remove, 350, , ,
remove, 327, , ,
remove, 328, , ,
remove, 329, , ,
insert, 378, 78, 126, 0
insert, 379, 118, 126, 1
insert, 380, 114, 126, 2
insert, 381, 86, 127, 0
insert, 383, 98, 127, 2
insert, 384, 98, 128, 0
insert, 385, 124, 128, 1
insert, 386, 114, 128, 2
insert, 387, 106, 129, 0
NEW ITERATION, 37, , ,
NEW ITERATION, 38, , ,
remove, 378, , ,
remove, 379, , ,
remove, 380, , ,
remove, 258, , ,
remove, 259, , ,
remove, 260, , ,
remove, 387, , ,
remove, 388, , ,
remove, 389, , ,
remove, 270, , ,
remove, 271, , ,
remove, 272, , ,
remove, 381, , ,
remove, 382, , ,
remove, 383, , ,
remove, 285, , ,
remove, 286, , ,
remove, 287, , ,
insert, 390, 90, 130, 0
insert, 391, -1, 130, 1
insert, 392, 86, 130, 2
insert, 393, 126, 131, 0
insert, 395, 127, 131, 2
insert, 397, 118, 132, 1
insert, 398, 114, 132, 2
insert, 399, 129, 133, 0
insert, 401, 127, 133, 2
insert, 402, 106, 134, 0
insert, 403, 128, 134, 1
insert, 406, 89, 135, 1
insert, 407, 103, 135, 2
insert, 408, 95, 136, 0
insert, 411, 75, 137, 0
insert, 412, 115, 137, 1
NEW ITERATION, 39, , ,
remove, 354, , ,
remove, 355, , ,
remove, 356, , ,
remove, 390, , ,
remove, 391, , ,
remove, 392, , ,
remove, 342, , ,
remove, 343, , ,
remove, 344, , ,
remove, 408, , ,
remove, 409, , ,
remove, 410, , ,
remove, 396, , ,
remove, 397, , ,
remove, 398, , ,
remove, 393, , ,
remove, 394, , ,
remove, 395, , ,
insert, 414, 130, 138, 0
insert, 415, 119, 138, 1
insert, 416, 121, 138, 2
insert, 417, 135, 139, 0
insert, 419, 133, 139, 2
insert, 420, 115, 140, 0
insert, 421, 136, 140, 1
insert, 422, 128, 140, 2
insert, 423, 137, 141, 0
insert, 425, 133, 141, 2
NEW ITERATION, 40, , ,
NEW ITERATION, 41, , ,
remove, 414, , ,
remove, 415, , ,
remove, 416, , ,
remove, 405, , ,
remove, 406, , ,
remove, 407, , ,
remove, 399, , ,
remove, 400, , ,
remove, 401, , ,
remove, 267, , ,
remove, 268, , ,
remove, 269, , ,
remove, 417, , ,
remove, 418, , ,
remove, 419, , ,
remove, 309, , ,
remove, 310, , ,
remove, 311, , ,
insert, 426, 89, 142, 0
insert, 427, -1, 142, 1
insert, 428, 135, 142, 2
insert, 429, 138, 143, 0
insert, 431, 139, 143, 2
insert, 433, 119, 144, 1
insert, 434, 121, 144, 2
insert, 435, 133, 145, 0
insert, 437, 139, 145, 2
insert, 438, 134, 146, 0
insert, 440, 141, 146, 2
insert, 441, 103, 147, 0
insert, 443, 75, 147, 2
insert, 444, 103, 148, 0
insert, 448, 122, 149, 1
NEW ITERATION, 42, , ,
remove, 357, , ,
remove, 358, , ,
remove, 359, , ,
remove, 426, , ,
remove, 427, , ,
remove, 428, , ,
remove, 363, , ,
remove, 364, , ,
remove, 365, , ,
remove, 444, , ,
remove, 445, , ,
remove, 446, , ,
remove, 432, , ,
